Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.051,-66.092,-90.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.463,-66.092,-90.0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,120.043142,-66.092,-90.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,113.439142,-66.108,-90.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.096,-71.612,-90.0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.492,-71.644,-90.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.015,-71.644,-90.0,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.411,-71.644,-90.0,top
R5,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.022858,-61.706,-90.0,top
R6,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.434858,-61.706,-90.0,top
R7,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.015,-61.706,-90.0,top
R8,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.411,-61.722,-90.0,top
SW1,SW_SPST,SW_Push_1P1T_XKB_TS-1187A,133.076,-78.867,-90.0,top
SW2,SW_SPST,SW_Push_1P1T_XKB_TS-1187A,126.521,-78.867,-90.0,top
SW3,SW_SPST,SW_Push_1P1T_XKB_TS-1187A,119.966,-78.867,-90.0,top
SW4,SW_SPST,SW_Push_1P1T_XKB_TS-1187A,113.411,-78.867,-90.0,top
